paper,paper_title,technique,category,origin,exact_source,paper_dataset,paper_preprocessing,paper_augmentation,paper_optimizer,paper_loss,paper_learning_rate,paper_scheduler,paper_architecture,paper_fine_tuning,paper_metrics,published_result_comparable_to_aquahealth,feasible_on_aquahealth_data,gate3_classification,gate3_reason
P1,Efficient Fish Disease Classification Using Fine-Tuned MobileNetV3Large for Mobile-Based Aquaculture Diagnosis,"two-phase transfer learning: frozen backbone + head (lr 1e-3), then unfreeze last layers (lr 1e-5)",fine_tuning,[A],P1 sec 3 'Training Strategy',Kaggle irfanulhuda/fish-disease-detection-dataset (the AquaHealth source dataset),resize 224x224; ImageNet mean/std normalisation,"rotation, horizontal flip (+ scaling mentioned in integrity audit); training set only",Adam,categorical cross-entropy,Phase 1 1e-3 (head only); Phase 2 1e-5 (last 70 layers unfrozen),NOT STATED in paper text,MobileNetV3Large (ImageNet weights),"Phase 1 frozen backbone + head; Phase 2 last 70 layers unfrozen, lr 1e-5","accuracy, loss, confusion matrix, precision/recall/F1, ROC-AUC (micro/macro)",NO — same source data but their split leaks near-duplicates (59 groups straddle vendor train/test),YES,PARTIALLY EXECUTED,"EXP-003: run 1 frontend-interrupted (probably completed, artifacts overwritten); run 3 interrupted at ~23:05 IST (checkpoints only, no metrics.csv). No verified metrics."
P1,Efficient Fish Disease Classification Using Fine-Tuned MobileNetV3Large for Mobile-Based Aquaculture Diagnosis,augmentation: rotation + horizontal flip (train only),augmentation,[A],P1 sec 1,Kaggle irfanulhuda/fish-disease-detection-dataset (the AquaHealth source dataset),resize 224x224; ImageNet mean/std normalisation,"rotation, horizontal flip (+ scaling mentioned in integrity audit); training set only",Adam,categorical cross-entropy,Phase 1 1e-3 (head only); Phase 2 1e-5 (last 70 layers unfrozen),NOT STATED in paper text,MobileNetV3Large (ImageNet weights),"Phase 1 frozen backbone + head; Phase 2 last 70 layers unfrozen, lr 1e-5","accuracy, loss, confusion matrix, precision/recall/F1, ROC-AUC (micro/macro)",NO — same source data but their split leaks near-duplicates (59 groups straddle vendor train/test),YES,NOT EXECUTED,subset of the existing augmentation; not run as a separate factor
P1,Efficient Fish Disease Classification Using Fine-Tuned MobileNetV3Large for Mobile-Based Aquaculture Diagnosis,"resize 224x224 + ImageNet normalisation, no CLAHE",preprocessing,[A],P1 sec 1,Kaggle irfanulhuda/fish-disease-detection-dataset (the AquaHealth source dataset),resize 224x224; ImageNet mean/std normalisation,"rotation, horizontal flip (+ scaling mentioned in integrity audit); training set only",Adam,categorical cross-entropy,Phase 1 1e-3 (head only); Phase 2 1e-5 (last 70 layers unfrozen),NOT STATED in paper text,MobileNetV3Large (ImageNet weights),"Phase 1 frozen backbone + head; Phase 2 last 70 layers unfrozen, lr 1e-5","accuracy, loss, confusion matrix, precision/recall/F1, ROC-AUC (micro/macro)",NO — same source data but their split leaks near-duplicates (59 groups straddle vendor train/test),YES,"EXECUTED (artifact on Drive, not yet verified locally)",EXP-002 completed 22:43 IST (metrics.csv on Drive)
P1,Efficient Fish Disease Classification Using Fine-Tuned MobileNetV3Large for Mobile-Based Aquaculture Diagnosis,Adam + categorical cross-entropy,optimizer,[A],"P1 abstract, sec 3",Kaggle irfanulhuda/fish-disease-detection-dataset (the AquaHealth source dataset),resize 224x224; ImageNet mean/std normalisation,"rotation, horizontal flip (+ scaling mentioned in integrity audit); training set only",Adam,categorical cross-entropy,Phase 1 1e-3 (head only); Phase 2 1e-5 (last 70 layers unfrozen),NOT STATED in paper text,MobileNetV3Large (ImageNet weights),"Phase 1 frozen backbone + head; Phase 2 last 70 layers unfrozen, lr 1e-5","accuracy, loss, confusion matrix, precision/recall/F1, ROC-AUC (micro/macro)",NO — same source data but their split leaks near-duplicates (59 groups straddle vendor train/test),YES,PARTIALLY EXECUTED,Adam used inside EXP-003/EXP-006; not isolated as its own factor
P1,Efficient Fish Disease Classification Using Fine-Tuned MobileNetV3Large for Mobile-Based Aquaculture Diagnosis,MobileNetV3Large backbone,backbone,[A],P1 sec 2,Kaggle irfanulhuda/fish-disease-detection-dataset (the AquaHealth source dataset),resize 224x224; ImageNet mean/std normalisation,"rotation, horizontal flip (+ scaling mentioned in integrity audit); training set only",Adam,categorical cross-entropy,Phase 1 1e-3 (head only); Phase 2 1e-5 (last 70 layers unfrozen),NOT STATED in paper text,MobileNetV3Large (ImageNet weights),"Phase 1 frozen backbone + head; Phase 2 last 70 layers unfrozen, lr 1e-5","accuracy, loss, confusion matrix, precision/recall/F1, ROC-AUC (micro/macro)",NO — same source data but their split leaks near-duplicates (59 groups straddle vendor train/test),YES with new code,REQUIRES NEW ARCHITECTURE,PRD fallback backbone only; block-freezing code is EfficientNet-specific
P2,Empirical Evaluation of Deep Learning Techniques for Fish Disease Detection in Aquaculture Systems: A Transfer Learning and Fusion-Based Approach,feature fusion of three CNN backbones + SVM,feature fusion,[A],"P2 sec III.B, Fig 7","three: dataset-1 Fresh Water Fish Disease (7 classes, public), dataset-2 (305 images, 2 classes, public), dataset-3 own 'Freshwater fish disease aquaculture in South Asia' (~2,450 images, 7 classes, 350/class)",pixel normalisation (rescale 1/255),"horizontal flip, width/height shift 0.2, rotation 20/40/60 deg, brightness variation, fill nearest; applied BEFORE the 60/20/20 split (leakage-prone protocol)","compared Adam, RMSProp, Adadelta, SGD per backbone",NOT STATED in paper text (SVM classifier for the fusion model),NOT STATED in paper text (only in table figures),NOT STATED in paper text,ImageNet-pretrained CNNs,transfer learning; fine-tuning details NOT STATED in paper text,"accuracy, precision, recall, F1, confusion matrix (macro/weighted avg)",NO — different dataset/split,NO,NOT APPLICABLE,"3x inference cost, SVM head breaks the softmax/confidence contract; augment-before-split leaks"
P2,Empirical Evaluation of Deep Learning Techniques for Fish Disease Detection in Aquaculture Systems: A Transfer Learning and Fusion-Based Approach,"augmentation: h-flip, shift 0.2, rotation 20/40/60, brightness",augmentation,[A],P2 sec III.B.1,"three: dataset-1 Fresh Water Fish Disease (7 classes, public), dataset-2 (305 images, 2 classes, public), dataset-3 own 'Freshwater fish disease aquaculture in South Asia' (~2,450 images, 7 classes, 350/class)",pixel normalisation (rescale 1/255),"horizontal flip, width/height shift 0.2, rotation 20/40/60 deg, brightness variation, fill nearest; applied BEFORE the 60/20/20 split (leakage-prone protocol)","compared Adam, RMSProp, Adadelta, SGD per backbone",NOT STATED in paper text (SVM classifier for the fusion model),NOT STATED in paper text (only in table figures),NOT STATED in paper text,ImageNet-pretrained CNNs,transfer learning; fine-tuning details NOT STATED in paper text,"accuracy, precision, recall, F1, confusion matrix (macro/weighted avg)",NO — different dataset/split,YES,NOT EXECUTED,width/height shift not in AugmentConfig
P2,Empirical Evaluation of Deep Learning Techniques for Fish Disease Detection in Aquaculture Systems: A Transfer Learning and Fusion-Based Approach,optimizer comparison Adam / RMSProp / Adadelta / SGD,optimizer,[A],P2 sec IV.B,"three: dataset-1 Fresh Water Fish Disease (7 classes, public), dataset-2 (305 images, 2 classes, public), dataset-3 own 'Freshwater fish disease aquaculture in South Asia' (~2,450 images, 7 classes, 350/class)",pixel normalisation (rescale 1/255),"horizontal flip, width/height shift 0.2, rotation 20/40/60 deg, brightness variation, fill nearest; applied BEFORE the 60/20/20 split (leakage-prone protocol)","compared Adam, RMSProp, Adadelta, SGD per backbone",NOT STATED in paper text (SVM classifier for the fusion model),NOT STATED in paper text (only in table figures),NOT STATED in paper text,ImageNet-pretrained CNNs,transfer learning; fine-tuning details NOT STATED in paper text,"accuracy, precision, recall, F1, confusion matrix (macro/weighted avg)",NO — different dataset/split,YES,PARTIALLY EXECUTED,Adam (EXP-003/006) and SGD (EXP-004) run; RMSProp/Adadelta not in the engine
P3,Comparison of EfficientNetB1 Model Effectiveness in Identifying Fish Diseases in South Asian Fish Diseases and Salmon Fish Diseases,"Adam lr 3e-5, batch 64/32, 25 epochs, EarlyStopping(patience 5)",training,[A],P3 Table I,"Freshwater Fish Disease Aquaculture in South Asia (Kaggle; 7 classes x 100 = 700 images) and SalmonScan (Mendeley; 2 classes, 243 images)",rescale 1/255; resize to 150x150,none (listed as future work),Adam,categorical cross-entropy,3e-5,"none; EarlyStopping(patience 5, monitor val_accuracy)",EfficientNetB1 include_top=False (ImageNet),"all 7,953,433 params trainable (Table II)","accuracy, precision, recall (val)",NO — different dataset/split,YES,"EXECUTED (artifact on Drive, not yet verified locally)",EXP-006 completed 22:28 IST (metrics.csv on Drive)
P3,Comparison of EfficientNetB1 Model Effectiveness in Identifying Fish Diseases in South Asian Fish Diseases and Salmon Fish Diseases,head: BatchNorm -> Dense(128) -> Dropout -> Dense(K),classifier,[A],P3 Table II,"Freshwater Fish Disease Aquaculture in South Asia (Kaggle; 7 classes x 100 = 700 images) and SalmonScan (Mendeley; 2 classes, 243 images)",rescale 1/255; resize to 150x150,none (listed as future work),Adam,categorical cross-entropy,3e-5,"none; EarlyStopping(patience 5, monitor val_accuracy)",EfficientNetB1 include_top=False (ImageNet),"all 7,953,433 params trainable (Table II)","accuracy, precision, recall (val)",NO — different dataset/split,YES with new code,REQUIRES NEW ARCHITECTURE,head variant + checkpoint/predictor plumbing needed
