experiment_id,paper,technique,architecture,status,stage,epoch,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,parameters,trainable_parameters,inference_latency_ms,training_time_minutes,checkpoint,test_used,source_file,notes
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,head,1,val,0.6309,0.6492,0.6278,0.624,NOT_RECORDED (per-epoch log has macro only),4017796,10248,,,checkpoints/head/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 2; train_loss 1.5670, val_loss 1.2734"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,head,2,val,0.6973,0.7003,0.6963,0.6935,NOT_RECORDED (per-epoch log has macro only),4017796,10248,,,checkpoints/head/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 3; train_loss 1.0545, val_loss 1.0538"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,head,3,val,0.7266,0.7296,0.7261,0.7255,NOT_RECORDED (per-epoch log has macro only),4017796,10248,,,checkpoints/head/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 4; train_loss 0.8378, val_loss 0.9233"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,head,4,val,0.7461,0.7503,0.7452,0.7445,NOT_RECORDED (per-epoch log has macro only),4017796,10248,,,checkpoints/head/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 5; train_loss 0.7229, val_loss 0.8391"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,head,5,val,0.7734,0.7764,0.7735,0.7724,NOT_RECORDED (per-epoch log has macro only),4017796,10248,,,checkpoints/head/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 6; train_loss 0.6424, val_loss 0.7765"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,partial,1,val,0.7598,0.7616,0.7591,0.7562,NOT_RECORDED (per-epoch log has macro only),4017796,3165988,,,checkpoints/partial/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 7; train_loss 0.8561, val_loss 0.8460"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,partial,2,val,0.8047,0.8052,0.8048,0.8025,NOT_RECORDED (per-epoch log has macro only),4017796,3165988,,,checkpoints/partial/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 8; train_loss 0.6033, val_loss 0.7043"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,partial,3,val,0.8359,0.8379,0.8361,0.8352,NOT_RECORDED (per-epoch log has macro only),4017796,3165988,,,checkpoints/partial/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 9; train_loss 0.4706, val_loss 0.5979"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,partial,4,val,0.8496,0.8529,0.8501,0.8494,NOT_RECORDED (per-epoch log has macro only),4017796,3165988,,,checkpoints/partial/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 10; train_loss 0.3754, val_loss 0.5220"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,partial,5,val,0.8633,0.8648,0.8639,0.8632,NOT_RECORDED (per-epoch log has macro only),4017796,3165988,,,checkpoints/partial/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 11; train_loss 0.2939, val_loss 0.4576"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,partial,6,val,0.873,0.8758,0.8734,0.8729,NOT_RECORDED (per-epoch log has macro only),4017796,3165988,,,checkpoints/partial/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 12; train_loss 0.2373, val_loss 0.4195"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,partial,7,val,0.8848,0.886,0.8853,0.8841,NOT_RECORDED (per-epoch log has macro only),4017796,3165988,,,checkpoints/partial/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 13; train_loss 0.2041, val_loss 0.3884"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,partial,8,val,0.8848,0.8868,0.8855,0.8844,NOT_RECORDED (per-epoch log has macro only),4017796,3165988,,,checkpoints/partial/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 14; train_loss 0.1681, val_loss 0.3655"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,partial,9,val,0.9004,0.9018,0.901,0.9004,NOT_RECORDED (per-epoch log has macro only),4017796,3165988,,,"Drive: MyDrive/AquaHealth/runs/experiments/EXP-001/best_model.pth (16 MB, not in git)",NO,results/experiments/EXP-001/metrics.csv,"BEST EPOCH (selection by val Macro-F1). metrics.csv line 15; train_loss 0.1408, val_loss 0.3381"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,partial,10,val,0.8926,0.8947,0.8934,0.8926,NOT_RECORDED (per-epoch log has macro only),4017796,3165988,,,checkpoints/partial/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 16; train_loss 0.1218, val_loss 0.3203"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,1,val,0.8594,0.864,0.8605,0.8573,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 17; train_loss 0.2987, val_loss 0.4491"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,2,val,0.8516,0.8575,0.8526,0.8499,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 18; train_loss 0.2355, val_loss 0.4450"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,3,val,0.8672,0.8697,0.8684,0.866,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 19; train_loss 0.2091, val_loss 0.4066"
