source_dataset,original_class,unified_class,mapping_status,reason,evidence
current_freshwater,Bacterial Red disease,Bacterial Red Disease,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
current_freshwater,Bacterial diseases - Aeromoniasis,Aeromoniasis,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
current_freshwater,Bacterial gill disease,Bacterial Gill Disease,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
current_freshwater,EUS,EUS Disease,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
current_freshwater,Fungal diseases Saprolegniasis,Saprolegniasis,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
current_freshwater,Parasitic diseases,Parasitic Disease,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
current_freshwater,Viral diseases White tail disease,White Tail Disease,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
current_freshwater,Healthy Fish,Healthy Fish,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
roboflow,Bacterial Red disease,Bacterial Red Disease,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
roboflow,Bacterial diseases - Aeromoniasis,Aeromoniasis,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
roboflow,Bacterial gill disease,Bacterial Gill Disease,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
roboflow,Fungal diseases Saprolegniasis,Saprolegniasis,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
roboflow,Parasitic diseases,Parasitic Disease,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
roboflow,Viral diseases White tail disease,White Tail Disease,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
roboflow,Healthy Fish,Healthy Fish,EXACT_MATCH,"identical folder name to the current dataset's source folder, which the project already maps",src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
kaptai,EUS,EUS Disease,EXACT_MATCH,folder name is the same string 'EUS' the project already maps,src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping); folder name only — the dataset ships no documentation
kaptai,Healthy Fish,Healthy Fish,EXACT_MATCH,folder name equals the canonical class name,src/manifest.py::SOURCE_FOLDER_TO_CLASS (project's agreed mapping)
kaptai,Argulus,,UNRESOLVED,"Argulus is a specific parasite (fish louse); the project's 'Parasitic Disease' class has no documented definition of which parasites it covers, so the mapping is plausible but not evidenced",no dataset README/metadata; no project document defines 'Parasitic Disease'
kaptai,Redspot,,UNRESOLVED,'Redspot' could denote Bacterial Red Disease or Epizootic Ulcerative Syndrome (also called red-spot disease); the folder even contains files named 'EUS (n).jpg',folder listing of kaptai/Redspot (files 'EUS  (2).jpg' ... 'EUS  (14).jpg'); no documentation
kaptai,THE BACTERIAL GILL ROT,,UNRESOLVED,similar wording to 'Bacterial Gill Disease' but no documentation states the equivalence; the folder also contains a histology figure panel,folder name only; contact-sheet inspection during the Phase-1 audit
kaptai,Tail And Fin Rot,,UNRESOLVED,no canonical class for fin rot ('White Tail Disease' is a distinct viral condition); needs a decision: new unified class or exclusion,src/manifest.py::CANONICAL_CLASSES has no fin-rot class
kaptai,Broken antennae and rostrum,,EXCLUDED,"describes mechanical damage to crustacean anatomy (antennae, rostrum), not a fish disease in the unified taxonomy; the folder mixes a prawn photo with unrelated fish images",folder name; contact-sheet inspection during the Phase-1 audit
mendeley,Bacterial Gill Diseases,Bacterial Gill Disease,SUPPORTED_MAPPING,"same disease term, plural form","MatsyaDx-BD/metadata.csv column health_condition; species Rui/Silver carp/Grass carp (South-Asian freshwater aquaculture, same domain as the current set)"
mendeley,Bacterial Red Diseases,Bacterial Red Disease,SUPPORTED_MAPPING,"same disease term, plural form",MatsyaDx-BD/metadata.csv column health_condition
mendeley,Epizootic Ulcerative Syndrome (EUS),EUS Disease,SUPPORTED_MAPPING,label spells out the EUS abbreviation the project's class name uses,MatsyaDx-BD/metadata.csv column health_condition
mendeley,Healthy Fish,Healthy Fish,EXACT_MATCH,label equals the canonical class name,MatsyaDx-BD/metadata.csv column health_condition
paper_dataset,FreshFish,,UNRESOLVED,"'fresh' (healthy) salmon; merging a different species and rearing domain into 'Healthy Fish' is a design decision, not an evidenced label equivalence",folder name only; team note describes SalmonScan as an external-domain dataset
paper_dataset,InfectedFish,,UNRESOLVED,'infected' names no disease; it cannot be assigned to any of the seven disease classes,folder name only; no per-image disease label in the delivery
